                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     97,                0.82335,                0.38628,                 0.9732,                0.96891,                0.94805,                0.95657,                0.67952,                 1.1654,                0.46073,                 1.1105,             0.00060733,             0.00060733,             0.00060733
                     98,                0.81205,                0.37888,                0.96789,                0.95833,                0.94805,                0.94934,                0.66194,                 1.1735,                0.46173,                 1.1194,             0.00058848,             0.00058848,             0.00058848
                     99,                0.81292,                0.38011,                0.96785,                0.98549,                0.94805,                0.97411,                0.66437,                 1.1765,                0.48398,                 1.1116,             0.00056981,             0.00056981,             0.00056981
                    100,                0.81405,                0.37717,                0.96717,                0.97293,                0.93343,                0.95076,                0.64833,                 1.2254,                0.49412,                 1.1293,             0.00055134,             0.00055134,             0.00055134
                    101,                0.81315,                0.37697,                0.96521,                0.97103,                0.96104,                0.96692,                0.66514,                 1.1733,                0.46366,                 1.1082,             0.00053306,             0.00053306,             0.00053306
                    102,                0.80986,                0.37631,                0.96679,                0.97244,                0.96104,                0.96547,                 0.6679,                 1.1836,                0.47029,                 1.1172,               0.000515,               0.000515,               0.000515
                    103,                0.80832,                0.37524,                0.96489,                0.97236,                0.96104,                0.96309,                0.68239,                 1.1729,                0.47348,                 1.1111,             0.00049715,             0.00049715,             0.00049715
                    104,                0.80693,                0.37594,                0.96361,                0.97186,                0.96104,                0.96592,                0.67864,                 1.1763,                 0.4588,                 1.1117,             0.00047953,             0.00047953,             0.00047953
                    105,                0.80679,                0.37422,                0.96267,                0.98455,                0.96104,                0.96315,                0.66677,                 1.1709,                0.46412,                 1.1181,             0.00046214,             0.00046214,             0.00046214
                    106,                0.80215,                0.37244,                0.96216,                      1,                0.96811,                0.97873,                0.67222,                 1.1643,                0.45212,                 1.1125,             0.00044499,             0.00044499,             0.00044499
                    107,                0.80465,                0.37342,                0.96506,                0.98666,                0.96025,                0.95833,                0.66974,                 1.1481,                 0.4461,                 1.1087,             0.00042809,             0.00042809,             0.00042809
                    108,                0.80178,                0.37187,                0.96171,                0.98488,                0.96104,                0.96848,                0.66617,                 1.1595,                0.44198,                   1.11,             0.00041145,             0.00041145,             0.00041145
                    109,                0.80138,                0.37007,                0.96096,                0.98514,                0.96104,                0.96709,                0.67755,                 1.1414,                0.43887,                 1.1123,             0.00039506,             0.00039506,             0.00039506
                    110,                0.79834,                0.36862,                0.95866,                0.98497,                0.96104,                 0.9642,                0.67464,                 1.1693,                0.45077,                 1.1047,             0.00037895,             0.00037895,             0.00037895
                    111,                0.79897,                0.36834,                0.96199,                0.98519,                0.96104,                0.95759,                0.65814,                 1.1651,                0.44161,                 1.1053,             0.00036311,             0.00036311,             0.00036311
                    112,                0.79565,                 0.3677,                0.95674,                0.98548,                0.96104,                0.95799,                0.66067,                 1.1831,                0.45232,                 1.1088,             0.00034756,             0.00034756,             0.00034756
